# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material that the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Delivery details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free delivery overlay in your ads. Use a semi-colon "";"" or a comma "";"" to separate multiple delivery details for different regions or countries. Only people in the specified region or country will see delivery details for that region or country. You can leave out the region (keep the double ""::"") if your delivery details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item's Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you're sure that it's correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
22,Valentines Love and Heart Lithophane (Natural White),"Add a touch of romance to your space with this beautifully crafted Personalized Heart-Shaped Photo Lithophane Lamp. Designed with an elegant “LOVE” base, this showpiece glows warmly to reveal a cherished photo, creating a stunning visual effect. Made using high-quality 3D printing and soft LED backlighting, it’s perfect for bedrooms, living rooms, or as a heartfelt gift for anniversaries, weddings, Valentine’s Day, or birthdays. A timeless décor piece that celebrates love and memories.",in stock,new,599.00 INR,https://3pointarts.in/product/22?variant=22,https://iili.io/fi9tBTX.md.png,3 Point Arts,Home Decor,Home Decor,6,,,22,,Natural White,,,PLAHQ,,,,,,,,,
18,Number Plate Keychains,"Carry your vehicle identity in style with this Number Plate Keychain. Designed to resemble a real license plate, it can be customized with your vehicle number and name. Made from durable, lightweight material, it’s perfect for everyday use and makes a thoughtful, personalized gift.",in stock,new,168.00 INR,https://3pointarts.in/product/21?variant=18,https://iili.io/f6tEgQp.webp,3 Point Arts,Love Gifts,Love Gifts,47,,,21,,,,,PLAHQ,,,,,,,,,
17,Customize Name & Logo,"Personalize your pet’s style with this Customize Name & Logo Tag. Made from durable, lightweight material, it features bold raised lettering for clear visibility. Easily customizable with your pet’s name or logo, this tag adds a unique touch while ensuring everyday comfort and long-lasting use. Perfect for collars and harnesses.",in stock,new,169.00 INR,https://3pointarts.in/product/20?variant=17,https://iili.io/f6ZKDBt.webp,3 Point Arts,Love Gifts,Love Gifts,100,,,20,,,,,PLAHQ,,,,,,,,,
16,Customize Lithophane (white),"This is a customizable lithophane product. Customers can personalize it with their own photo, name, design, or message. The image becomes clearly visible when illuminated, making it ideal for gifts and home décor.",in stock,new,399.00 INR,https://3pointarts.in/product/19?variant=16,https://iili.io/f6Z3tup.png,3 Point Arts,Personalized Gifts,Personalized Gifts,15,,,19,,white,,,PLAHQ,,,,,,,,,
15,Key Holder with Storage Box (BLACK ),"This wall-mounted key holder is designed for everyday use with a clean and minimal look. It can be easily fixed on the wall near the entrance, helping you keep your keys in one place.

The holder features a flip-open storage box where you can safely store spare keys or small items, while the bottom hook allows quick hanging of daily-use keys. Its compact design saves space and blends well with any home or office interior.

Ideal for homes, offices, hostels, and apartments, this key holder combines utility and simplicity in one product.",in stock,new,299.00 INR,https://3pointarts.in/product/18?variant=15,https://iili.io/f4z33tR.md.png,3 Point Arts,Home Decor,Home Decor,20,,,18,,BLACK,,,PLAHQ,,,,,,,,,
14,Chess box tower set with foldable board game (black & white),"This unique foldable tower chess set combines smart design with elegant style ♟️
The vertical tower structure allows the chessboard to fold neatly while safely storing all chess pieces inside.
Crafted with a premium finish and sturdy build for long-lasting use.
Space-saving, easy to carry, and perfect for travel or compact storage.
An excellent choice for chess lovers, home décor, and gifting.",in stock,new,349.00 INR,https://3pointarts.in/product/17?variant=14,https://iili.io/f4TuOG9.png,3 Point Arts,Toy & games,Toy & games,8,,,17,,black & white,,,PLAHQ,,,,,,,,,
13,Lovely Heart-Shaped Makeup & Desk Organizer (red),"Stylish heart-shape makeup organizer jo aapke vanity ko de classy & cute look 💖
High-quality soft-touch material se bana, jo durable aur easy to clean hai.",in stock,new,249.00 INR,https://3pointarts.in/product/16?variant=13,https://makerworld.bblmw.com/makerworld/model/UScf296702a5b7e/design/2026-01-11_7f228a207311b8.png,3 Point Arts,Love Gifts,Love Gifts,10,,,16,,red,,,PLAHQ,,,,,,,,,
20,Lovely Heart-Shaped Makeup & Desk Organizer (Black),"Stylish heart-shape makeup organizer jo aapke vanity ko de classy & cute look 💖
High-quality soft-touch material se bana, jo durable aur easy to clean hai.",in stock,new,249.00 INR,https://3pointarts.in/product/16?variant=20,https://makerworld.bblmw.com/makerworld/model/UScf296702a5b7e/design/2026-01-11_7f228a207311b8.png,3 Point Arts,Love Gifts,Love Gifts,10,,,16,,Black,,,PLAHQ,,,,,,,,,
21,Lovely Heart-Shaped Makeup & Desk Organizer (White),"Stylish heart-shape makeup organizer jo aapke vanity ko de classy & cute look 💖
High-quality soft-touch material se bana, jo durable aur easy to clean hai.",in stock,new,249.00 INR,https://3pointarts.in/product/16?variant=21,https://makerworld.bblmw.com/makerworld/model/UScf296702a5b7e/design/2026-01-11_7f228a207311b8.png,3 Point Arts,Love Gifts,Love Gifts,10,,,16,,White,,,PLAHQ,,,,,,,,,
12,Tree home decoration (black),"A modern decorative plant featuring a graceful tree design with a heart-shaped base. This elegant décor piece adds warmth, style, and a touch of nature to any tabletop, shelf, or workspace—perfect for contemporary and romantic interiors.",in stock,new,399.00 INR,https://3pointarts.in/product/15?variant=12,https://makerworld.bblmw.com/makerworld/model/US922fef5980046c/design/2025-07-01_68af475cd8885.jpg,3 Point Arts,Home Decor,Home Decor,10,,,15,,black,,,PLAHQ,,,,,,,,,
